FID,OID_,Name,FolderPath,SymbolID,AltMode,Base,TimeSpan,TimeStamp,BeginTime,EndTime,Snippet,PopupInfo,HasLabel,LabelID,POINT_X,POINT_Y,POINT_Z,POINT_M
0,0,ACR_78,GPS1,0,-1,0.000000000000000,0,0, , , ,"Small

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Back/09_17_Tagging/78/GOPR2001.JPG"">",-1,0,-149.850396023000000,-17.481356325000000,0.000000000000000,1.000000000000000
1,0,POC_541,GPS1,0,-1,0.000000000000000,0,0, , , ,"Same bommie as POC 549, to N

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/541/GOPR0464.JPG"">",-1,0,-149.852030273999990,-17.494240174000002,0.000000000000000,1.000000000000000
2,0,POR_547,GPS1,0,-1,0.000000000000000,0,0, , , ,"Large colony 

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/547/GOPR0504.JPG"">",-1,0,-149.851736692999990,-17.494509268000002,0.000000000000000,1.000000000000000
3,0,POR_588,GPS1,0,-1,0.000000000000000,0,0, , , ,"multiple parts of one colony, nemo drilled here

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/588/GOPR0523.JPG"">",-1,0,-149.851815741000000,-17.494429624999999,0.000000000000000,1.000000000000000
4,0,POR_580,GPS1,0,-1,0.000000000000000,0,0, , , ,<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/580/GOPR0436.JPG"">,-1,0,-149.851919774000010,-17.494076066000002,0.000000000000000,1.000000000000000
5,0,POC_191,GPS1,0,-1,0.000000000000000,0,0, , , ,<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/191/GOPR0440.JPG"">,-1,0,-149.852019640000010,-17.494103760000002,0.000000000000000,1.000000000000000
6,0,POR_549,GPS1,0,-1,0.000000000000000,0,0, , , ,"near POR 541, lower part of bommie

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/549/GOPR0461.JPG"">",-1,0,-149.852010709000010,-17.494220792000000,0.000000000000000,1.000000000000000
7,0,POC_171,GPS1,0,-1,0.000000000000000,0,0, , , ,"Large solitary colony

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/171/GOPR0475.JPG"">",-1,0,-149.851974369999990,-17.494545799000001,0.000000000000000,1.000000000000000
8,0,POC_48,GPS1,0,-1,0.000000000000000,0,0, , , ,<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/48/GOPR0500.JPG"">,-1,0,-149.851875135000000,-17.494511519000000,0.000000000000000,1.000000000000000
9,0,POC_283,GPS1,0,-1,0.000000000000000,0,0, , , ,<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/283/GOPR0996.JPG"">,-1,0,-149.851867645999990,-17.494460246999999,0.000000000000000,1.000000000000000
10,0,POR_299,GPS1,0,-1,0.000000000000000,0,0, , , ,"Big bommie next to road (by white child statue) in sand patch

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/299/GOPR1005.JPG"">",-1,0,-149.851733623000000,-17.494348932000001,0.000000000000000,1.000000000000000
11,0,POR_507,GPS1,0,-1,0.000000000000000,0,0, , , ,<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/507/GOPR0493.JPG"">,-1,0,-149.852000213000000,-17.494581309000001,0.000000000000000,1.000000000000000
12,0,POR_578,GPS1,0,-1,0.000000000000000,0,0, , , ,"On solitary bommie, high up

<img style=""max-width:500px;"" src=""file:///Volumes/LA-PUBLIC/MVP/MVP_092017/Sites/LTER0/LTER0_Fringing/9_17_tagging/578/GOPR0454.JPG"">",-1,0,-149.852017265000000,-17.494081812000001,0.000000000000000,1.000000000000000
